"value";"descr"
"other_unknown";"[без знака]"
"school_1zone";"Школа (1 зона)"
"school_2zone";"Школа (2 зона)"
"school_3zone";"Школа (3 зона)"
"school_repeat";"Школа (повтор)"
"school_atwork";"Выдана агенту"
"school_passed";"Пройдена"
"school_freepass";"Пройдена без договорённостей"
"school_adv";"Объявления"
"school_stop";"Не пустили"
"school_bad";"Не подходит"
"school_center";"Образовательный центр"
"promo_red";"Промо (срочно)"
"promo_yellow";"Промо (обычный)"
"promo_green";"Промо (хороший)"
"other_house";"[Дом]"
"other_tools";"[Ремонт]"
"other_stop";"[Стоп]"
"other_stoplight";"[Светофор]"
